N	F0	m	d_ms	d0	v0	prob	collision
5	4259	865	441	8	113	0.420	1
7	3756	830	203	7	103	0.260	1
7	203	1066	237	6	77	0.050	0
3	1317	1520	206	6	96	0.310	0
8	3518	1540	374	5	66	0.410	1
3	2872	824	468	13	105	0.320	1
8	806	887	394	16	109	0.200	0
6	4221	727	295	15	98	0.430	0
3	2350	1535	420	17	54	0.180	0
7	2961	972	72	7	71	0.130	0
3	2437	1230	270	8	53	0.090	0
8	3218	772	328	11	80	0.400	1
7	3367	746	233	8	110	0.280	1
3	4191	1962	430	16	113	0.120	0
3	1486	1862	159	14	111	0.370	0
5	328	1622	207	5	103	0.160	0
3	3017	1650	273	19	94	0.260	0
7	612	1511	309	11	76	0.220	0
3	3758	1966	146	16	63	0.390	0
4	1172	1678	409	5	88	0.360	1
3	3087	1911	344	9	83	0.370	0
8	1519	1137	150	6	101	0.190	0
5	3405	792	279	11	67	0.470	0
3	2766	1537	176	8	86	0.310	0
4	4124	823	68	18	72	0.170	0
7	2199	1463	457	18	108	0.050	0
8	2882	1735	19	19	113	0.050	0
5	3474	830	261	5	87	0.090	1
5	1783	1867	377	15	62	0.270	0
5	995	1893	115	10	69	0.360	0
6	4648	975	58	16	57	0.370	0
5	1626	1468	308	19	103	0.010	0
8	1278	578	415	9	56	0.270	1
5	716	681	303	12	69	0.090	0
8	3354	969	259	10	105	0.470	1
8	3848	863	232	17	82	0.020	0
5	1746	1710	343	19	103	0.070	0
5	4749	1305	382	6	60	0.110	1
3	2107	1952	77	10	77	0.020	0
6	1564	1726	402	9	106	0.210	0
3	2418	1070	224	15	105	0.460	0
3	827	1211	253	19	96	0.440	0
8	3725	1294	221	11	62	0.250	0
4	3387	750	385	11	73	0.250	1
3	4096	1498	183	14	111	0.150	0
8	1065	1526	465	18	118	0.480	0
8	4953	1599	59	11	56	0.210	0
8	4570	1803	198	11	59	0.210	0
6	1835	717	163	18	55	0.490	0
7	1202	646	96	11	80	0.480	0
7	2115	1895	142	9	101	0.380	0
7	1768	1641	303	10	66	0.460	0
4	4395	796	497	15	85	0.410	1
7	2379	1404	370	10	90	0.230	0
4	3438	844	139	12	91	0.300	0
4	4831	630	299	6	105	0.400	1
4	3672	1139	323	16	85	0.270	0
5	2339	1176	275	7	66	0.360	0
6	3742	721	439	10	52	0.030	0
6	2333	1825	481	17	66	0.030	0
6	3086	1671	425	8	98	0.320	1
8	2918	1861	345	19	108	0.430	0
6	2987	1696	317	9	116	0.250	0
6	1047	1536	186	10	90	0.440	0
4	1150	697	261	8	90	0.160	0
7	1431	803	358	5	103	0.020	1
3	1590	1085	151	11	74	0.310	0
5	2430	733	410	15	100	0.340	0
6	1985	871	98	10	64	0.120	0
3	4361	515	22	13	108	0.190	0
8	2814	661	283	6	80	0.040	1
4	4522	708	342	18	88	0.410	0
8	4329	1156	43	18	90	0.010	0
